SubModelID,SubModelName
516,2+2 Spyder
517,Mirage
518,Rally
519,Twin Cam
520,LN
521,Step-Van
522,Durango
523,High Country
525,Tahoe
526,Tahoe LT
527,Xtreme
528,ZR2
529,Trailblazer
530,Baja
531,Gypsy
532,High Sierra
533,ZR5
536,CL Plus
537,Express
538,ER
539,Metro
540,Cosworth
541,Panel Express
542,Value
543,Warner Bros.
544,Indy Hauler
545,Sierra Classic
546,Sierra Grande
547,Street Coupe
548,Heavy Half
549,Sierra
550,Sierra SL
551,Sierra SLE
552,Sierra SLT
553,Sierra SLX
554,Sierra Special
555,Sierra GT
556,SLE
557,Amarillo
558,Diablo
561,Rally STX
562,Vandura
563,Rally Custom
564,Magnavan
565,Rally Camper Special
566,Vandura Special
567,Sierra SLS
568,Sierra Sport
569,Value Van
570,Timberline
571,Diamond Edition
572,Envoy
573,SLX
574,HT
575,SP
576,Sierra Madre Del Sur
577,Denali
578,XFi
579,GSi
580,2+2 GSi
581,Regency
582,Regency Touring
583,Regency Brougham
584,Regency Grande
585,Regency Elite
587,GX
588,500
589,Supreme
590,Panel
591,442
592,Colonnade
593,Colonnade S
594,Hurst
595,International
596,Holiday
597,Cruiser LS
598,Brougham LS
599,Vista Cruiser
600,Vista Cruiser Brougham
601,Indy 500 Pace Car
602,Cruiser
603,Royale
604,Royale Brougham
605,Royale Brougham LS
606,Royale LS
607,Cruiser S
608,LC
609,Brougham LX
610,Cruiser LX
611,Brougham SX
612,Cruiser SX
613,F85
614,Firenza
615,Trofeo
616,XSR
617,Caliente
618,XSC
619,STE
620,GT Safari
621,S Safari
622,SJ
623,SJ Safari
624,Safari
625,SSE
626,SSEi
627,Esprit
629,Formula
630,S/E
631,Trans Am
632,Trans Am GT
633,Trans Am GTA
634,Trans Am GTA SE
635,GT1
636,SE1
637,SE2
638,GTP
639,LJ
640,Mclaren
641,Aerocoupe
642,Aerocoupe YL
643,LE Value Leader
644,Montana
646,Eddie Bauer
649,XL
652,XL Plus
655,XL Sport
656,XLT
659,XLT Plus
662,XLT Sport
663,Northland
664,Ranger
665,Ranger XLT
666,XLT Lariat
667,XLT Nite
668,GL Sport
669,LX Sport
670,SVT
671,Country Squire
672,LWB
673,Police Interceptor
674,Touring Sedan
675,Ranch Wagon
676,Chateau
677,HO
678,GT Turbo
679,LX-E
680,Pony
681,ZX2
682,ZX2 Cool Coupe
683,ZX2 Hot Coupe
684,Expedition
686,XL Fleet
693,Ranger Lariat
694,Harley-Davidson Edition
695,King Ranch
696,Lariat
697,Lightning
698,Futura
699,L Plus
700,Sony Limited Edition
702,ZTS
703,ZTW
704,ZX3
705,ZX5
706,Elite
